time,aX,aY,aZ,hr,soundDB
1650296072703,4.96,5.14,4.61,0,-16.478174818886377
1650296077740,4.96,5.16,4.61,0,-15.917600346881503
1650296082755,4.96,5.16,4.59,0,-15.39102157243452
1650296087804,4.94,5.14,4.59,0,-17.07743928643524
1650296092824,4.94,5.14,4.59,0,-13.979400086720375
1650296097868,4.94,5.14,4.61,0,-15.917600346881503
1650296102916,4.94,5.14,4.61,0,-16.478174818886377
1650296107935,4.94,5.14,4.59,0,-15.917600346881503
1650296112976,4.94,5.14,4.59,0,-15.917600346881503
1650296117996,4.94,5.14,4.61,0,-15.917600346881503
1650296128064,4.94,5.12,4.59,0,-16.478174818886377
1650296133107,4.94,5.12,4.59,0,-17.07743928643524
1650296138152,4.94,5.14,4.57,0,-17.07743928643524
1650296143183,4.94,5.12,4.59,0,-16.478174818886377
1650296153236,4.94,5.14,4.57,0,-15.917600346881503
1650296158332,4.94,5.12,4.59,0,-17.07743928643524
